,time,radio,reward,power
32,32,2.748558497867756,0.0,19
33,33,2.6605688610619933,1.0,27
34,34,2.5519508956153936,1.0,16
35,35,2.597284784641376,1.0,27
36,36,2.2011167023321634,0.0,24
37,37,2.549399294931157,1.0,17
38,38,2.991477593254184,1.0,22
39,39,2.9490070070987366,1.0,24
40,40,3.0387483112472102,1.0,28
41,41,3.0773734274286,1.0,28
42,42,2.9681588661394813,1.0,26
43,43,2.9854569548272996,1.0,24
44,44,3.2186919510462815,1.0,20
45,45,2.749588827813495,0.0,11
46,46,2.6307799376596517,0.0,14
47,47,2.7181361243762066,0.0,14
48,48,3.1559403082734487,1.0,32
49,49,3.097580945782604,1.0,21
0,0,0.4521550960337284,1.0,30
1,1,0.92648915930793,1.0,11
2,2,1.2425717690444693,1.0,13
3,3,1.7605349563369308,1.0,16
4,4,1.9421499836018907,1.0,34
5,5,2.000632327851131,1.0,27
6,6,2.410455033260367,0.0,23
7,7,2.2124129957206167,1.0,35
8,8,2.0220011696881444,1.0,28
9,9,2.278359408004997,1.0,20
10,10,2.236370045857877,0.0,28
11,11,2.5972108682543507,1.0,27
12,12,2.5519096974802715,0.0,12
13,13,2.829878570410007,1.0,29
14,14,2.7855003303725665,1.0,28
15,15,2.8789568581355067,1.0,27
16,16,2.652424026918264,1.0,20
17,17,3.140971201825707,1.0,18
18,18,3.0918037550082498,1.0,24
19,19,2.7355468557857257,1.0,16
20,20,2.7462629941881533,1.0,14
21,21,3.001046204651092,1.0,12
22,22,2.5274962252120665,0.0,11
23,23,2.705968568968688,0.0,14
24,24,2.7302483347939233,1.0,17
25,25,2.605884765312562,1.0,18
26,26,2.7049426652965165,1.0,13
27,27,2.621176704187598,1.0,11
28,28,2.7398536336178942,1.0,11
29,29,2.7348097001536336,1.0,11
30,30,2.7897096005107076,1.0,12
31,31,2.6190155375266504,1.0,11
32,32,2.51269365727377,1.0,11
33,33,2.5369023969486815,1.0,12
34,34,2.697299648534195,1.0,14
35,35,2.5944625945276707,1.0,12
36,36,2.5965616407366863,1.0,11
37,37,2.9914935349596794,1.0,11
38,38,2.8130634913329318,1.0,11
39,39,2.766221248253257,1.0,11
40,40,3.2209020514839914,0.0,10
41,41,3.186007170738451,1.0,31
42,42,3.565926499401061,1.0,11
43,43,3.162263090732413,1.0,12
44,44,2.91073688680741,1.0,18
45,45,3.1083780275138806,1.0,20
46,46,2.9217509677785816,1.0,14
47,47,2.8376597172770346,1.0,20
48,48,2.810438359918406,1.0,27
49,49,2.819243712938086,1.0,14
0,0,0.5282890320738897,1.0,12
1,1,0.9016147883696061,1.0,11
2,2,1.3285946768198942,1.0,34
3,3,1.487735723210472,1.0,11
4,4,1.9178327953637404,1.0,37
5,5,1.8692236632222836,1.0,12
6,6,2.1527760148843327,0.0,11
7,7,2.011099458868415,1.0,11
8,8,2.370738864522846,1.0,11
9,9,2.3544592907485686,1.0,13
10,10,2.567003856671472,1.0,11
11,11,2.4703402221392983,1.0,11
12,12,2.453178366049917,1.0,11
13,13,2.4696800052373495,1.0,12
14,14,2.5031311217053895,1.0,11
15,15,2.573941585522746,1.0,11
16,16,2.676486115536958,0.0,11
17,17,2.7187834897510093,1.0,11
18,18,2.933752639591919,1.0,11
19,19,2.9467340216350855,1.0,11
20,20,2.445162484338298,0.0,13
21,21,2.238110282953208,1.0,12
22,22,2.5573798821938865,1.0,13
23,23,2.5439253077689576,1.0,11
24,24,2.680030137973099,0.0,10
25,25,2.6523263580076333,1.0,11
26,26,2.8832451386716826,1.0,12
27,27,2.9820044461137,1.0,11
28,28,3.188271996044101,0.0,10
29,29,3.2518994529512764,1.0,11
30,30,3.079420830120553,0.0,10
31,31,3.027867462104664,1.0,11
32,32,3.128108385701526,1.0,11
33,33,2.749001871126962,1.0,12
34,34,2.788276039376873,1.0,11
35,35,3.1448349195637255,1.0,11
36,36,2.8949823004360327,1.0,12
37,37,2.944340924055444,1.0,11
38,38,2.9679827148244504,1.0,13
39,39,3.0438720172830735,1.0,11
40,40,2.8894138853228086,1.0,12
41,41,3.042644557964935,1.0,11
42,42,3.576708421464831,1.0,11
43,43,3.641957064676697,1.0,13
44,44,3.669397759043302,1.0,20
45,45,3.824771538389222,1.0,18
46,46,3.456449900336736,1.0,19
47,47,3.4418740113757056,1.0,16
48,48,3.4805668546025235,1.0,11
49,49,3.3333424749770844,1.0,13
0,0,0.46215221238424736,1.0,11
1,1,0.9810164903107651,1.0,11
2,2,0.9967016662418714,0.0,11
3,3,1.232479503787897,1.0,11
4,4,1.526005269628669,1.0,19
5,5,1.9458025657998543,1.0,11
6,6,2.190586402134837,1.0,27
7,7,2.0205885476510006,1.0,22
8,8,2.3816388191126063,0.0,19
9,9,2.421615977349352,1.0,21
10,10,2.6093049907950556,1.0,30
11,11,2.5472303350251106,0.0,11
12,12,2.990608871474625,1.0,28
13,13,3.116952896665703,1.0,20
14,14,2.947245032785036,1.0,13
15,15,2.977118400830549,1.0,11
16,16,3.095247360018153,1.0,13
17,17,3.127621019152006,1.0,26
18,18,3.3363556732373163,0.0,28
19,19,3.488172242897978,1.0,40
20,20,3.4018844941269712,1.0,21
21,21,3.4817697988070977,1.0,22
22,22,2.9915150134148014,0.0,13
23,23,3.016234955423639,1.0,16
24,24,3.003993289285091,1.0,13
25,25,3.26874424562747,1.0,11
26,26,3.036326887986739,0.0,17
27,27,2.9803702629232562,1.0,16
28,28,2.864190122505171,1.0,19
29,29,3.022981486039593,1.0,31
30,30,3.246434461046097,1.0,11
31,31,3.4410698348983035,1.0,11
32,32,3.615751692487771,1.0,11
33,33,3.4854194925395428,1.0,12
34,34,3.3252399980405354,1.0,11
35,35,3.3392218069144937,1.0,11
36,36,3.257200634072934,1.0,11
37,37,3.043445953530409,1.0,12
38,38,3.193299477107743,1.0,11
39,39,3.242947923681954,1.0,17
40,40,3.1846587753651323,1.0,12
41,41,3.1738994574433517,1.0,12
42,42,3.2334497249578735,1.0,12
43,43,3.1717530617811707,1.0,11
44,44,3.1515652229001327,0.0,11
45,45,3.0802106208623674,1.0,32
46,46,3.397747739287702,1.0,13
47,47,3.2003360852967053,1.0,13
48,48,3.019391112888116,1.0,12
49,49,2.912432745924787,1.0,11
0,0,0.46933273137235937,1.0,11
1,1,1.025687364332481,1.0,11
2,2,1.140225292420163,1.0,11
3,3,1.6074491171269683,1.0,11
4,4,1.8856063978842375,1.0,14
5,5,2.375366303168922,1.0,27
6,6,2.811707543512045,1.0,17
7,7,3.0150278261080117,1.0,42
8,8,2.9006551452699076,1.0,20
9,9,3.244260506102192,1.0,24
10,10,2.6170286269293475,1.0,25
11,11,2.422950576196133,0.0,13
12,12,2.4634852762458825,0.0,14
13,13,2.4652635380137093,1.0,19
14,14,2.6070751005600195,1.0,22
15,15,2.598565712492664,0.0,24
16,16,2.56585868397595,1.0,29
17,17,2.3296742429005444,1.0,21
18,18,2.664587809389593,1.0,32
19,19,2.767691187455441,0.0,34
20,20,2.5536964241944777,0.0,31
21,21,3.1556097084477432,1.0,32
22,22,2.8910635380749956,1.0,35
23,23,3.318691103362168,1.0,23
24,24,3.5431864199578853,0.0,24
25,25,3.55031075154955,1.0,24
26,26,3.5118126368665012,1.0,24
27,27,3.3157631102703715,1.0,17
28,28,2.985841162249499,0.0,21
29,29,2.8968425337590356,1.0,20
30,30,2.700493210511775,0.0,24
31,31,2.7446005985807242,1.0,25
32,32,2.888741785947461,0.0,25
33,33,2.879060670908102,1.0,28
34,34,3.2217855447821937,0.0,13
35,35,3.231288458243366,1.0,25
36,36,3.3608429346804103,0.0,23
37,37,2.9688891756284446,1.0,14
38,38,2.7111989676010477,1.0,30
39,39,2.8314811702311973,1.0,28
40,40,2.6207271668441687,0.0,24
41,41,2.8562290544969757,1.0,32
42,42,2.8826207611503953,1.0,23
43,43,2.672553793055088,1.0,14
44,44,2.614638550439848,1.0,12
45,45,2.676824617937985,1.0,18
46,46,2.534174907631523,1.0,13
47,47,2.795549587351957,1.0,13
48,48,3.273970649367496,1.0,20
49,49,2.9134716132849965,1.0,15
0,0,0.4632813836164655,1.0,11
1,1,1.0052310042217796,1.0,12
2,2,1.5290923198455082,1.0,11
3,3,1.9698523002940826,1.0,11
4,4,2.4426596394140967,1.0,11
5,5,2.413911875140526,1.0,11
6,6,2.0717113393388726,1.0,11
7,7,2.5283661385653167,1.0,11
8,8,2.4241630408261825,1.0,12
9,9,2.3041540312568842,1.0,11
10,10,2.4844590135395976,1.0,12
11,11,2.406882965352283,1.0,46
12,12,2.6600931106908954,1.0,11
13,13,2.932915366391582,1.0,12
14,14,2.928747931133984,0.0,11
15,15,3.192177977914653,1.0,29
16,16,3.37162889958582,0.0,10
17,17,2.96540370509601,1.0,11
18,18,3.309816115103008,1.0,15
19,19,3.1007701858646586,1.0,41
20,20,3.3444757671172938,1.0,28
21,21,3.088608026373566,1.0,35
22,22,2.9222676620967714,0.0,23
23,23,2.8036617851964554,1.0,18
24,24,2.920822408444202,1.0,18
25,25,3.000894320129896,1.0,13
26,26,2.8250924769869026,1.0,15
27,27,2.832323448724015,1.0,22
28,28,2.955723611554893,0.0,19
29,29,2.773922561981327,1.0,11
30,30,2.9317361784282014,1.0,31
31,31,3.01782687685914,1.0,11
32,32,3.1776830323390133,0.0,10
33,33,3.2736311030762573,1.0,13
34,34,2.902937508785703,0.0,11
35,35,3.390093945450726,1.0,11
36,36,3.345580021037449,1.0,20
37,37,3.023107427643293,1.0,15
38,38,3.3246553899784357,1.0,20
39,39,3.2560128321865296,1.0,19
40,40,3.0377884914942572,1.0,28
41,41,2.95780700449478,1.0,11
42,42,2.8387809238554227,1.0,11
43,43,3.166028762624396,1.0,14
44,44,3.176142487255447,1.0,15
45,45,3.1381585162528407,1.0,28
46,46,3.509290873927144,1.0,20
47,47,3.5719128420426522,1.0,24
48,48,3.7200612617819853,1.0,21
49,49,3.2649652315525284,1.0,19
0,0,0.4820264692745261,1.0,11
1,1,0.8701075228152793,1.0,13
2,2,1.5193288073332223,1.0,11
3,3,1.7305968336958177,1.0,20
4,4,1.8131467907997127,1.0,20
5,5,2.113945145847209,1.0,24
6,6,1.9280752492020785,1.0,11
7,7,2.100784347761941,1.0,40
8,8,2.24056953246342,1.0,13
9,9,2.411012295270817,1.0,11
10,10,2.5955248630295205,1.0,11
11,11,2.5238191207530214,1.0,13
12,12,2.4689005431084663,1.0,14
13,13,2.5018052602893985,1.0,13
14,14,2.5790184207872358,1.0,11
15,15,2.6214131054211927,1.0,50
16,16,2.654247720956471,1.0,13
17,17,2.6733517888466776,1.0,19
18,18,2.744451003005711,0.0,20
19,19,2.7648254319369,1.0,15
20,20,2.759474751589667,1.0,19
21,21,2.914827432441079,1.0,17
22,22,2.958402856302669,1.0,11
23,23,2.935970989193448,1.0,14
24,24,2.997364214414364,1.0,16
25,25,3.1197998785051277,1.0,11
26,26,2.953278229538985,1.0,18
27,27,2.9845523613394205,1.0,24
28,28,3.0232807726185,1.0,22
29,29,2.878844752297595,0.0,22
30,30,3.0697695420334314,1.0,22
31,31,3.026182315190688,1.0,15
32,32,3.1795156050136484,0.0,13
33,33,3.1160235205321825,1.0,14
34,34,3.0668541832821274,1.0,14
35,35,2.838544060062964,1.0,14
36,36,3.197410784151398,1.0,20
37,37,3.248769648429561,1.0,16
38,38,3.2506629149996966,1.0,13
39,39,3.3293264392097814,1.0,20
40,40,3.163642504333908,1.0,22
41,41,2.886101345827754,1.0,23
42,42,3.1242177408985468,1.0,16
43,43,2.9903194796560633,1.0,19
44,44,2.674349130611313,1.0,26
45,45,2.6257309217679783,1.0,23
46,46,2.754751866706948,1.0,33
47,47,3.00075651013097,1.0,30
48,48,3.3061277698831324,1.0,27
49,49,3.434212587568332,1.0,32
0,0,0.49538214095052713,1.0,11
1,1,1.13889128317987,1.0,11
2,2,1.4509730492529493,1.0,11
3,3,1.9526785820053578,1.0,11
4,4,2.0555326658039443,1.0,13
5,5,1.7522403359222043,1.0,11
6,6,1.6749718542617609,1.0,11
7,7,1.788660441193764,1.0,11
8,8,1.943330796648605,1.0,11
9,9,2.0551005460422833,1.0,11
10,10,2.2755952901895142,1.0,12
11,11,2.1729838201755154,0.0,16
12,12,2.2377693673457615,1.0,13
13,13,2.27634334699885,1.0,45
14,14,2.4785595517680052,1.0,18
15,15,2.3819964858406193,1.0,15
16,16,1.948515356400891,1.0,12
17,17,2.2917179007502293,1.0,16
18,18,1.9285691299122958,1.0,11
19,19,2.100450547519198,1.0,27
20,20,2.6906289132103822,1.0,28
21,21,2.8631117797105765,1.0,29
22,22,2.7395857556636987,1.0,24
23,23,3.1422223582913746,0.0,24
24,24,3.139108174267575,1.0,30
25,25,3.004382011700025,1.0,27
26,26,3.329099189472247,1.0,34
27,27,2.9952399890613006,1.0,33
28,28,2.9951280931149027,1.0,32
29,29,3.0761306063342997,1.0,41
30,30,2.8158529804657824,1.0,30
31,31,2.773213410929543,1.0,28
32,32,2.819271674537395,0.0,18
33,33,3.118807016879407,1.0,22
34,34,2.7265308114472573,1.0,15
35,35,2.6174395075672434,1.0,15
36,36,2.636315866615281,1.0,16
37,37,2.687560219793944,1.0,11
38,38,2.5986283444778167,1.0,11
39,39,2.607568014129058,1.0,18
40,40,2.9798011785856637,1.0,27
41,41,2.895956678782892,1.0,18
42,42,3.1347086426496653,1.0,21
43,43,3.183020810763011,1.0,27
44,44,3.074452018299821,1.0,20
45,45,3.029593396181991,1.0,30
46,46,3.0369083322354564,1.0,17
47,47,3.0451520465084823,1.0,48
48,48,2.905394834945306,1.0,26
49,49,2.861676411435137,1.0,28
0,0,0.5109261897208053,1.0,28
1,1,1.082825797534391,0.0,15
2,2,0.8796753059390705,1.0,13
3,3,1.0737956584113024,1.0,12
4,4,1.2745870389311158,1.0,11
5,5,1.4414787819017818,1.0,19
6,6,1.8590984243340698,1.0,20
7,7,1.910382257597211,1.0,21
8,8,2.336868963613405,1.0,14
9,9,2.3072617485418583,1.0,35
10,10,2.2089041970926284,1.0,22
11,11,2.463541025026303,1.0,21
12,12,2.572117057608778,1.0,16
13,13,3.0136173989801223,1.0,16
14,14,2.9594245033526883,1.0,17
15,15,2.6164492578304186,1.0,14
16,16,2.51199795512011,0.0,17
17,17,2.5644159532713764,1.0,20
18,18,2.5202173061662467,1.0,16
19,19,2.5715770832082976,1.0,17
20,20,2.933677897316035,1.0,13
21,21,2.9402089357714374,1.0,12
22,22,2.8404798598604537,1.0,11
23,23,2.800838836947186,1.0,13
24,24,2.972931633444093,1.0,11
25,25,3.311285853703733,1.0,11
26,26,3.2510923384913637,1.0,13
27,27,2.8745712547648146,1.0,15
28,28,3.0617331880613516,1.0,16
29,29,3.028374085550528,1.0,25
30,30,3.176997575673175,0.0,15
31,31,3.0552430986691177,1.0,18
32,32,2.949398778678548,1.0,24
33,33,2.9636398864523543,1.0,26
34,34,2.9102825702258133,0.0,25
35,35,3.3078355892201303,1.0,25
36,36,3.2515221602248268,1.0,25
37,37,3.539144913930546,1.0,22
38,38,3.343546750027318,1.0,29
39,39,3.218647380798663,1.0,27
40,40,3.1870041790536616,1.0,24
41,41,3.4009098131736497,1.0,19
42,42,3.5411271985850004,1.0,24
43,43,3.3470420858756595,1.0,17
44,44,3.3832817076931763,0.0,20
45,45,3.3743967242201207,1.0,20
46,46,3.2091265675628566,1.0,21
47,47,3.001040836771243,1.0,26
48,48,2.899055904509854,1.0,24
49,49,3.158218059817473,1.0,29
0,0,0.5054770673011794,1.0,11
1,1,0.9643973287631917,1.0,12
2,2,1.246241226533781,1.0,11
3,3,1.2384318121391618,1.0,11
4,4,1.3948311131393254,1.0,11
5,5,1.4556732724683268,1.0,13
6,6,1.8345017704849125,0.0,17
7,7,1.8690981695694495,1.0,19
8,8,2.019035298269176,1.0,15
9,9,2.074120248828225,1.0,32
10,10,2.332935724145921,0.0,11
11,11,2.3493440964462393,1.0,42
12,12,2.1699510967751077,1.0,16
13,13,2.5174055075684745,1.0,20
14,14,2.5876813583500344,0.0,11
15,15,2.4127962700886023,1.0,16
16,16,2.4640650480999775,1.0,18
17,17,2.5833082779218945,1.0,27
18,18,2.693781270374948,1.0,25
19,19,2.8564863056645544,1.0,18
20,20,2.6864256828740873,1.0,29
21,21,2.7677283293731687,1.0,26
22,22,2.908622222099955,1.0,22
23,23,2.937186613577234,1.0,22
24,24,3.034610740374676,0.0,14
25,25,3.017129917136516,1.0,15
26,26,2.909995271137419,1.0,11
27,27,2.808192924789096,1.0,11
28,28,3.2911831290863636,1.0,12
29,29,3.2308619492932773,1.0,11
30,30,3.3806453817019015,1.0,16
31,31,3.11604264891018,1.0,14
32,32,3.3712576367512517,1.0,13
33,33,3.0268137286057697,1.0,11
34,34,3.133121805259828,0.0,14
35,35,3.3302175683432624,1.0,23
36,36,2.92055631056459,1.0,16
37,37,2.9137674409831096,1.0,27
38,38,3.053524685354953,0.0,10
39,39,3.200900048765916,1.0,21
40,40,3.42942043615493,1.0,21
41,41,3.6663769598347176,1.0,16
42,42,3.503778521956547,1.0,18
43,43,3.3486729825159296,1.0,20
44,44,3.707296078114969,1.0,29
45,45,3.5286480834334166,1.0,20
46,46,3.2631410379682437,1.0,20
47,47,3.337629293345214,1.0,34
48,48,3.3246574638236344,1.0,23
49,49,3.3675557359471098,1.0,22
0,0,0.5482517344388081,1.0,27
1,1,0.9334558153944463,1.0,11
2,2,1.3585898890683614,1.0,13
3,3,1.770545340720652,0.0,12
4,4,1.905766714792163,1.0,20
5,5,2.2628339499829226,1.0,21
6,6,2.1000618016187595,1.0,17
7,7,2.5827435209879375,1.0,23
8,8,2.6084924021879003,1.0,16
9,9,2.3323980784364,1.0,11
10,10,2.171984256236881,0.0,13
11,11,2.4611361231552653,1.0,17
12,12,2.30749820434552,1.0,14
13,13,2.616270742447828,1.0,27
14,14,2.6387539407869816,1.0,16
15,15,3.077693548698739,0.0,16
